id,name,price,original_price,discount,discount_rate,days_created,review_count,authors,images,categories,order_count
212356652.0,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ (Tái bản 2022)",128000.0,189000.0,61000.0,32.0,305,155.0,Trương Tiếu Hằng,https://salt.tikicdn.com/ts/product/44/72/e7/af7fe845d6f1065bffb4e5fa43d72f6d.jpg,Sách tư duy - Kỹ năng sống,
3304875.0,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),74100.0,105000.0,30900.0,29.0,1914,4518.0,Higashino Keigo,https://salt.tikicdn.com/ts/product/5f/87/cb/d6660f4ff53fe0889b38a817cd62e7b0.png,Sách tiếng Việt,
207841114.0,Ghi Chép Pháp Y – Những Cái Chết Bí Ẩn,107000.0,150000.0,43000.0,29.0,326,746.0,Lưu Hiểu Huy,https://salt.tikicdn.com/ts/product/20/1c/8c/511fc9250a5c0342a2b930a8adcb2a22.jpg,Truyện trinh thám,
4780917.0,Người Đua Diều (Tái Bản 2018),88000.0,129000.0,41000.0,32.0,1859,2514.0,Khaled Hosseini,https://salt.tikicdn.com/ts/product/2c/af/62/c7f70bf0b15e19de63682a9433b8140b.png,Sách tiếng Việt,
85923342.0,Minh Triết Trong Ăn Uống Của Phương Đông (Tái Bản),117000.0,168000.0,51000.0,30.0,942,132.0,Ngô Đức Vượng,https://salt.tikicdn.com/media/catalog/producttmp/0f/e9/ab/8ee676d1086d6610c2f2e549dc0b0efa.jpg,Sách tiếng Việt,
189643105.0,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,92000.0,128000.0,36000.0,28.0,475,1349.0,Lê Bảo Ngọc,https://salt.tikicdn.com/ts/product/7d/95/12/a4bbaa6f8f64b3b889ba01bc178f51ec.jpg,Sách tư duy - Kỹ năng sống,
157432544.0,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),131000.0,220000.0,89000.0,40.0,650,1402.0,Hà Thanh Uyên,https://salt.tikicdn.com/ts/product/da/3f/bb/a81df6a04efd34c4d51c42816b222f08.jpg,Sách Học Tiếng Anh,
13419678.0,Sách Đi Tìm Lẽ Sống (Tái Bản ),58000.0,88000.0,30000.0,34.0,1664,2287.0,Viktor Emil Frankl,https://salt.tikicdn.com/ts/product/16/8f/12/1535a6bb9186658ed05e70ed6b014ead.jpg,Sách tiếng Việt,
,,,,,,1930,,,,,
54748899.0,Sách Muôn Kiếp Nhân Sinh (Bìa Mềm) - Nguyên Phong,120000.0,168000.0,48000.0,29.0,1257,5263.0,Nguyên Phong,https://salt.tikicdn.com/media/catalog/producttmp/af/95/32/80640c43b22ada78e777cb4c334a79fb.jpg,Sách tiếng Việt,
140416370.0,Dòng Chảy,170000.0,228000.0,58000.0,25.0,707,620.0,Mihaly Csikszentmihalyi,https://salt.tikicdn.com/ts/product/d5/cd/29/3b2688766207fd90580d2a9813aa2545.JPG,Sách tiếng Việt,
